Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-03-21,INFY,EQ,1021.5,1020.9,1034.95,1018.8,1028.8,1032.85,1029.0,2434792,250541204390000.0,61479,1830413,0.7518000000000001
2017-03-22,INFY,EQ,1032.85,1022.45,1039.95,1020.4,1027.5,1027.7,1028.79,1995426,205287240325000.0,69882,1221757,0.6123
2017-03-23,INFY,EQ,1027.7,1028.25,1043.0,1026.6,1040.25,1040.45,1038.53,2250831,233755535535000.0,70900,1648541,0.7323999999999999
2017-03-24,INFY,EQ,1040.45,1038.0,1044.0,1027.7,1028.1,1031.4,1033.26,2441948,252316665915000.0,75313,1751499,0.7173
2017-03-27,INFY,EQ,1031.4,1027.2,1041.85,1024.5,1035.0,1028.85,1032.85,3842412,396861743560000.0,118204,2995550,0.7796
2017-03-28,INFY,EQ,1028.85,1031.5,1039.0,1030.05,1038.95,1035.15,1035.21,2398398,248285026230000.03,69503,1930783,0.805
2017-03-29,INFY,EQ,1035.15,1034.3,1041.5,1025.85,1033.8,1031.85,1032.47,3490593,360393873650000.0,60565,2566972,0.7354
2017-03-30,INFY,EQ,1031.85,1034.0,1035.9,1020.25,1023.0,1025.5,1026.08,6078590,623709236785000.0,94441,5137369,0.8452
2017-03-31,INFY,EQ,1025.5,1023.25,1029.3,1008.0,1022.5,1022.25,1019.49,7076927,721483180260000.0,96201,5852533,0.8270000000000001
2017-04-03,INFY,EQ,1022.25,1032.15,1032.45,1006.1,1010.3,1008.8,1010.88,2157800,218128709615000.0,66898,1331562,0.6171
2017-04-05,INFY,EQ,1008.8,1005.0,1005.4,991.0,995.2,995.95,997.87,3699169,369127493505000.0,155256,2625496,0.7098000000000001
2017-04-06,INFY,EQ,995.95,998.15,1005.8,992.0,997.45,999.6,1000.46,2689504,269072925135000.0,80666,1937935,0.7206
2017-04-07,INFY,EQ,999.6,1000.9,1000.9,979.0,982.6,981.55,985.56,3202254,315600478025000.0,97036,2127344,0.6643000000000001
2017-04-10,INFY,EQ,981.55,984.9,989.5,950.1,951.05,953.4,965.01,4764236,459751433175000.0,94190,3501343,0.7349
2017-04-11,INFY,EQ,953.4,956.05,971.7,956.05,968.0,967.15,966.2,4327733,418146903260000.0,104526,3013419,0.6962999999999999
2017-04-12,INFY,EQ,967.15,970.0,976.9,960.35,967.85,968.85,969.16,3348376,324510325060000.0,86217,2109176,0.6299
2017-04-13,INFY,EQ,968.85,970.0,990.0,926.65,932.9,931.4,942.95,15486594,1460316052140000.0,368460,6306494,0.4072
2017-04-17,INFY,EQ,931.4,930.0,932.1,923.5,924.75,924.9,926.27,3606717,334078167650000.0,110168,2201285,0.6103000000000001
2017-04-18,INFY,EQ,924.9,924.75,934.0,919.1,923.05,922.65,925.65,2323759,215098553530000.03,77903,1279625,0.5507
2017-04-19,INFY,EQ,922.65,923.0,930.0,912.65,919.4,919.2,917.13,5035851,461854169185000.06,123370,3339609,0.6631999999999999
