,0
2020-02-25,"('Positive', 5)"
2020-02-26,"('Negative', 3)"
2020-02-27,"('Positive', 6)"
2020-02-28,"('Positive', 11)"
2020-02-29,"('Negative', 1)"
2020-03-01,"('Negative', 1)"
2020-03-02,"('Positive', 5)"
2020-03-03,"('Positive', 8)"
