Date,0,Close,News_Sentiment,Twitter_Sentiment
2020-02-25,10.318539847766797,11.020000457763672,"('Positive', 7)","('Nuetral', 46)"
2020-02-26,10.318659824816026,11.0,"('Positive', 13)","('Nuetral', 109)"
2020-02-27,10.318633257134664,10.619999885559082,"('Positive', 22)","('Nuetral', 155)"
2020-02-28,10.318533113662156,10.069999694824219,"('Positive', 38)","('Nuetral', 179)"
2020-02-29,,,"('Positive', 40)","('Positive', 242)"
2020-03-01,,,"('Positive', 42)","('Positive', 313)"
2020-03-02,10.318521856056499,10.359999656677246,"('Positive', 54)","('Positive', 363)"
2020-03-03,10.318594836683474,10.210000038146973,,
2020-03-04,10.318626485939323,10.470000267028809,,
2020-03-05,10.318580671016514,10.130000114440918,,
