,0
2020-02-25,"('Negative', 2)"
2020-02-26,"('Positive', 2)"
2020-02-27,"('Positive', 6)"
2020-02-28,"('Positive', 5)"
2020-02-29,"('Positive', 1)"
2020-03-01,"('Positive', 2)"
2020-03-02,"('Positive', 4)"
2020-03-03,"('Positive', 6)"
